Date,CNP,F,WMT,GE,TSLA
2014-12-26,20.857807,12.826987,80.10192099999998,23.374758,227.820007
2014-12-29,21.171585,12.885104,79.853065,23.302216,225.710007
2014-12-30,20.76193,12.8685,79.991333,23.184345,222.229996
2014-12-31,20.421999,12.8685,79.152611,22.912334,222.410004
2015-01-02,20.596321,12.75227,79.171036,22.72193,219.309998
2015-01-05,19.942606,12.254132,78.94062,22.304844,210.089996
2015-01-06,19.498083,12.137903,79.548912,21.824291,211.27999900000003
2015-01-07,19.750851,12.486596,81.659538,21.833359,210.949997
2015-01-08,20.221525,12.802081,83.383064,22.096306,210.619995
2015-01-09,19.794434,12.627735,82.35078399999998,21.788027,206.660004
2015-01-12,19.838015,12.636039,82.968292,21.742691,202.210007
2015-01-13,19.733419,12.627735,82.313919,21.633886,204.25
2015-01-14,19.715988,12.544713,79.82543199999998,21.561352,192.690002
2015-01-15,19.750851,12.337156,80.535103,21.380007,191.869995
2015-01-16,20.047203,12.469992,79.972893,21.389078,193.070007
2015-01-20,19.951323,12.461689,79.899162,21.624819,191.929993
2015-01-21,20.177944,12.428479,79.853065,21.797092000000006,196.570007
2015-01-22,19.951323,12.478295,81.383034,22.014702,201.619995
2015-01-23,20.021051,12.378667,81.57659100000002,22.196041,201.289993
2015-01-26,20.047203,12.519805,81.68718,22.295776,206.550003
2015-01-27,20.169226,12.328854,80.673355,22.10537,205.979996
2015-01-28,19.838015,12.127567,80.018982,21.615753,199.369995
2015-01-29,20.369698,12.454659,80.84848000000002,21.833359,205.199997
2015-01-30,20.125648,12.337241,78.323112,21.661091,203.600006
2015-02-02,19.960037,12.806911,78.995926,21.951233,210.940002
2015-02-03,19.907742,13.125616,79.43833199999997,22.186972,218.360001
2015-02-04,19.872877,13.310129000000002,79.862282,21.905893,218.550003
2015-02-05,20.212809,13.293357,80.44294000000002,22.214174,220.990005
2015-02-06,19.36734,13.301741,80.489029,22.232311,217.360001
2015-02-09,19.341194,13.352065,79.18026,22.341114,217.479996
2015-02-10,19.759569,13.494643,80.452148,22.413649,216.289993
2015-02-11,19.078384,13.628832999999998,79.576576,22.458986,212.800003
2015-02-12,19.483746,13.721093,79.161819,22.567791,202.880005
2015-02-13,19.175316,13.670768,79.088089,22.803528,203.770004
2015-02-17,19.034327,13.511418,79.226334,22.821669,204.350006
2015-02-18,19.333939,13.595287,79.530479,22.894197,204.460007
2015-02-19,19.043135,13.7798,76.977478,22.885052,211.710007
2015-02-20,19.148882,13.75464,77.696388,23.068054,217.110001
2015-02-23,19.104824,13.737866,77.972862,23.031458,207.339996
2015-02-24,19.422058,13.721093,77.94522099999998,23.232765,204.110001
2015-02-25,19.007891,13.846896,77.02356,23.708582,203.759995
2015-02-26,18.523216,13.737866,77.23555,23.690281,207.190002
2015-02-27,18.320538,13.704318,77.35537,23.781786,203.339996
2015-03-02,18.232414,13.897219,77.383011,23.89159,197.330002
2015-03-03,18.311724,13.561739,76.83921099999998,23.66283,199.559998
2015-03-04,18.276474,13.444322,76.111099,23.479822,202.440002
2015-03-05,18.470346,13.511418,77.02356,23.626228,200.630005
2015-03-06,18.197168,13.360453,76.12033100000002,23.260216,193.880005
2015-03-09,18.267662,13.444322,76.38761099999998,23.461525,190.880005
2015-03-10,18.188353,13.184327,75.641052,23.031458,190.320007
2015-03-11,18.029736,13.209485999999998,74.815857,23.049757,193.740005
2015-03-12,18.276474,13.561739,75.93776700000002,23.241913,191.070007
2015-03-13,18.100235,13.586901,75.93776700000002,22.912502,188.679993
2015-03-16,18.241226,13.830122,77.226585,23.28767,195.699997
2015-03-17,18.241226,13.746251,76.605362,23.159563,194.729996
2015-03-18,18.814020000000006,13.80496,76.521912,23.461525,200.710007
2015-03-19,18.364599,13.704318,75.58543399999998,23.177862,195.649994
2015-03-20,18.655401,13.821734,77.180222,23.241913,198.080002
2015-03-23,18.426281,13.897219,77.245125,23.305965,199.630005
2015-03-24,18.320538,13.888831,77.004051,23.122961,201.720001
2015-03-25,18.135479,13.570127,75.399986,22.793547,194.300003
2015-03-26,17.994486,13.427547,75.928497,22.69289,190.410004
2015-03-27,18.170732,13.402385999999998,75.427818,22.747799,185.0
2015-03-30,18.179543,13.553352,76.521912,22.985706,190.570007
2015-03-31,17.985674,13.536577,76.262283,22.702044,188.770004
2015-04-01,18.311724,13.343679000000002,74.834396,22.72949,187.589996
2015-04-02,18.258854,13.444322,74.85294300000002,22.820999,191.0
